"","state","puma","X","jpumarow","serialno.household","sex","age","educ","income","latino","black","asian","married","divorced","uscitizen","children","disability","militaryservice","employed","englishability","fips"
"25817",13,1104,538,14,8457975,1,35,9,17000,0,1,0,0,0,1,1,0,0,1,NA,13121
"10746",13,1101,535,11,7582485,1,46,9,42500,0,0,0,0,0,1,0,0,0,1,NA,13121
"27559",13,1105,539,15,8819078,0,19,10,3200,0,1,0,0,0,1,0,0,0,0,NA,13121
"12210",13,1101,535,11,8886971,1,39,11,55000,0,0,0,1,0,1,0,0,0,1,NA,13121
"14643",13,1102,536,12,7291068,0,19,9,1200,0,0,0,0,0,1,0,0,0,1,NA,13121
"12914",13,1102,536,12,9048642,1,28,10,27000,0,1,0,0,0,1,1,0,0,1,NA,13121
"33878",13,1107,541,17,9590687,0,51,11,40000,0,1,0,1,0,1,0,0,0,1,1,13121
"17973",13,1102,536,12,1137611,0,29,13,65000,1,0,0,1,0,0,0,1,0,1,1,13121
"22360",13,1104,538,14,7010299,0,29,3,22000,1,0,0,0,0,0,0,0,0,1,0,13121
"22019",13,1103,537,13,7179528,1,54,11,25500,0,0,0,1,0,1,0,0,0,1,NA,13121
"11657",13,1101,535,11,2690180,1,48,9,23700,0,0,0,0,0,1,0,0,0,1,NA,13121
"19246",13,1103,537,13,5476539,0,59,15,263000,0,0,0,1,0,1,0,0,0,1,NA,13121
"14823",13,1102,536,12,3509679,1,31,14,35000,0,0,0,0,0,1,0,0,0,0,NA,13121
"30705",13,1106,540,16,1575457,1,30,13,44000,0,1,0,0,0,1,0,0,0,1,NA,13121
"29816",13,1106,540,16,4344199,0,19,9,1300,0,1,0,0,0,1,0,0,1,0,NA,13121
"15498",13,1102,536,12,8311107,0,34,5,35000,1,0,0,1,0,0,0,0,1,1,0,13121
"19834",13,1103,537,13,6313914,0,60,13,125000,0,0,0,1,0,1,0,0,1,1,NA,13121
"10362",13,1101,535,11,8234064,1,37,9,60000,0,0,0,0,0,1,0,0,0,0,NA,13121
"24378",13,1104,538,14,9028840,1,33,13,8300,0,0,0,0,0,1,0,0,0,1,NA,13121
"19673",13,1103,537,13,2752038,0,22,11,12050,0,0,0,1,0,1,0,0,0,0,NA,13121
"17051",13,1102,536,12,9194999,0,43,14,1e+05,0,0,0,0,0,1,0,0,0,1,1,13121
"23131",13,1104,538,14,6607622,1,45,13,3000,0,1,0,1,0,1,1,0,0,0,NA,13121
"22739",13,1104,538,14,4444305,1,26,10,25000,0,0,0,0,0,1,0,0,0,1,NA,13121
"14798",13,1102,536,12,1811298,0,79,13,19000,0,0,0,1,0,1,0,0,1,0,NA,13121
"28705",13,1105,539,15,9502355,0,71,4,8900,0,0,0,0,1,1,0,1,1,0,NA,13121
"13606",13,1102,536,12,1941680,0,55,13,315000,0,0,0,1,0,1,0,0,1,1,NA,13121
"28349",13,1105,539,15,3441026,1,26,9,22000,0,1,0,0,0,1,0,1,0,1,NA,13121
"11960",13,1101,535,11,9528635,0,46,13,98000,0,0,0,0,0,1,0,0,0,1,NA,13121
"35032",13,1107,541,17,1014485,1,65,9,0,0,1,0,0,0,1,0,0,0,0,NA,13121
"23994",13,1104,538,14,582042,0,44,9,5800,0,1,0,0,0,1,0,0,0,0,NA,13121
"21929",13,1103,537,13,164347,0,25,13,65500,0,0,0,0,0,1,0,0,0,1,NA,13121
"13570",13,1102,536,12,6267410,0,74,13,30400,0,0,0,1,0,1,0,0,0,0,NA,13121
"14595",13,1102,536,12,5159477,1,37,14,34600,0,0,0,0,0,1,0,0,0,1,NA,13121
"21757",13,1103,537,13,550938,1,23,13,14000,0,0,0,1,0,1,0,0,0,1,NA,13121
"21414",13,1103,537,13,7412185,0,33,12,10740,0,1,0,0,0,1,0,0,0,1,NA,13121
"27246",13,1105,539,15,4440964,0,35,9,28000,0,1,0,1,0,1,0,0,0,1,NA,13121
"24886",13,1104,538,14,2975475,1,25,10,30000,0,0,1,0,0,1,0,0,0,1,NA,13121
"24006",13,1104,538,14,5010024,0,37,16,44000,0,0,0,1,0,1,0,0,0,1,NA,13121
"16140",13,1102,536,12,3221507,1,34,13,60000,0,0,0,0,0,1,0,0,0,1,NA,13121
"15708",13,1102,536,12,7520690,0,30,11,28000,0,0,0,0,0,1,0,0,0,1,NA,13121
"28175",13,1105,539,15,8362592,1,23,10,12000,0,1,0,0,0,0,1,0,0,1,NA,13121
"33554",13,1107,541,17,5987843,0,20,7,1800,0,0,0,0,0,1,0,0,0,0,NA,13121
"15617",13,1102,536,12,7627241,1,30,13,31200,0,0,0,1,0,1,0,0,0,1,NA,13121
"18437",13,1102,536,12,3799403,1,32,13,51000,0,0,0,0,0,1,0,0,1,1,NA,13121
"30044",13,1106,540,16,3518296,1,23,11,32500,0,1,0,1,0,1,1,0,0,1,NA,13121
"23548",13,1104,538,14,6721948,0,21,9,0,0,1,0,0,0,1,0,0,0,0,NA,13121
"28368",13,1105,539,15,3602729,1,23,1,340,0,1,0,0,0,1,1,0,1,1,NA,13121
"27103",13,1105,539,15,7431820,0,43,11,56000,0,0,0,0,0,1,0,0,0,1,NA,13121
"9743",13,1101,535,11,5969063,0,61,13,82690,0,0,0,1,0,1,0,0,0,0,NA,13121
"29286",13,1106,540,16,618760,1,93,5,5600,0,1,0,0,1,1,0,1,0,0,NA,13121
"12992",13,1102,536,12,7524861,0,49,11,31200,0,1,0,0,0,1,0,0,0,1,1,13121
"16933",13,1102,536,12,9975704,1,54,14,316000,0,0,0,1,0,1,0,0,0,1,NA,13121
"33224",13,1107,541,17,8673418,1,76,11,6000,0,1,0,0,0,1,0,0,0,0,NA,13121
"24802",13,1104,538,14,7122788,1,62,10,0,0,1,0,0,1,1,0,0,0,0,NA,13121
"24099",13,1104,538,14,7013868,1,26,14,13200,0,0,1,1,0,0,0,0,0,1,1,13121
"14444",13,1102,536,12,3070700,1,41,14,36300,0,0,0,1,0,1,1,0,0,0,NA,13121
"33720",13,1107,541,17,8814318,1,53,11,4500,0,1,0,0,0,1,0,0,0,1,NA,13121
"24025",13,1104,538,14,2130589,0,34,14,31000,0,0,0,0,0,1,0,1,0,1,1,13121
"30119",13,1106,540,16,7353820,0,42,1,0,0,1,0,0,0,1,0,1,0,0,NA,13121
"18201",13,1102,536,12,9864350,1,29,13,0,0,0,0,0,0,1,0,0,0,0,NA,13121
"29111",13,1105,539,15,7926768,1,26,11,32400,0,1,0,0,0,1,0,0,0,1,NA,13121
"31438",13,1106,540,16,244460,0,58,9,24000,0,1,0,1,0,1,0,1,0,0,NA,13121
