"","state","puma","X","jpumarow","serialno.household","sex","age","educ","income","latino","black","asian","married","divorced","uscitizen","children","disability","militaryservice","employed","englishability","fips"
"9695",13,1101,535,11,7216544,0,46,4,25000,0,0,0,1,0,1,0,1,0,1,NA,13121
"9696",13,1101,535,11,8759401,0,42,13,20000,0,0,0,1,0,0,0,0,0,1,1,13121
"9697",13,1101,535,11,4090619,0,31,13,49800,0,0,0,1,0,1,0,0,0,1,NA,13121
"9698",13,1101,535,11,7870099,0,40,14,95000,0,0,0,1,0,1,0,1,0,1,1,13121
"9699",13,1101,535,11,559371,1,58,11,11100,0,0,0,1,0,1,0,0,0,1,NA,13121
"9700",13,1101,535,11,2717397,1,40,14,62100,0,0,0,0,0,1,1,0,0,1,NA,13121
"9701",13,1101,535,11,6382283,1,24,13,8360,0,0,0,0,0,1,0,0,0,1,NA,13121
"9702",13,1101,535,11,9263636,1,35,11,0,0,0,0,1,0,1,1,0,0,0,NA,13121
"9703",13,1101,535,11,3071392,0,35,14,91000,0,0,0,0,0,1,0,0,0,1,1,13121
"9704",13,1101,535,11,77418,0,35,13,6000,0,0,0,0,0,1,0,0,0,1,NA,13121
"9705",13,1101,535,11,2476466,1,31,11,28800,0,0,0,1,0,1,0,0,0,1,NA,13121
"9706",13,1101,535,11,4870084,1,30,11,28000,0,0,0,1,0,1,1,0,0,1,NA,13121
"9707",13,1101,535,11,8486792,1,31,15,80200,0,0,1,0,0,1,0,0,0,1,NA,13121
"9708",13,1101,535,11,8918656,0,51,13,-3980,0,0,0,0,0,1,0,0,0,1,NA,13121
"9709",13,1101,535,11,9927052,1,30,14,30000,0,0,0,1,0,0,1,0,0,1,NA,13121
"9710",13,1101,535,11,7989475,0,37,13,140330,0,0,0,1,0,1,0,0,0,1,NA,13121
"9711",13,1101,535,11,7941130,0,55,16,169900,0,0,0,1,0,1,0,1,1,1,NA,13121
"9712",13,1101,535,11,3203081,1,45,11,2400,0,0,0,1,0,1,1,0,0,0,NA,13121
"9713",13,1101,535,11,7609109,1,28,11,12800,0,0,0,1,0,1,1,0,0,1,NA,13121
"9714",13,1101,535,11,9845810,1,39,13,14700,0,0,0,1,0,1,1,0,0,1,NA,13121
"9715",13,1101,535,11,5609723,1,28,11,12500,0,0,0,1,0,1,1,0,0,1,NA,13121
"9716",13,1101,535,11,7540152,0,51,9,7000,0,0,0,0,0,1,0,0,0,0,NA,13121
"9717",13,1101,535,11,3541508,0,35,14,148000,0,0,0,1,0,1,0,0,0,1,NA,13121
"9718",13,1101,535,11,9517304,0,45,14,53000,0,0,0,1,0,1,0,0,0,1,NA,13121
"9719",13,1101,535,11,1007242,0,45,13,23000,0,0,0,1,0,1,0,0,0,0,NA,13121
"9720",13,1101,535,11,7578497,1,39,13,143000,0,0,0,1,0,1,0,0,0,1,NA,13121
"9721",13,1101,535,11,8383446,0,52,11,3200,0,0,0,1,0,1,0,0,0,1,NA,13121
"9722",13,1101,535,11,1914119,0,23,10,17000,0,1,0,0,0,1,0,0,0,1,NA,13121
"9723",13,1101,535,11,3675132,1,20,12,10000,0,0,0,0,0,1,0,0,0,1,NA,13121
"9724",13,1101,535,11,3801505,0,47,9,102100,0,0,1,1,0,0,0,0,0,1,0,13121
"9725",13,1101,535,11,5027627,1,47,10,86370,0,0,0,0,0,1,0,0,0,1,NA,13121
"9726",13,1101,535,11,9121552,0,43,13,92000,0,0,0,1,0,1,0,0,0,1,NA,13121
"9727",13,1101,535,11,9336300,1,19,9,2000,0,0,0,0,0,1,0,0,0,0,1,13121
"9728",13,1101,535,11,9336300,0,46,14,102000,0,0,0,1,0,1,0,0,0,1,NA,13121
"9729",13,1101,535,11,2749537,1,42,13,38300,0,0,0,0,1,1,1,0,0,1,NA,13121
"9730",13,1101,535,11,5064307,0,73,13,52100,0,0,0,1,0,1,0,0,1,0,NA,13121
"9731",13,1101,535,11,3296192,1,35,13,36500,1,0,0,1,0,1,1,0,0,1,NA,13121
"9732",13,1101,535,11,6175578,1,38,9,0,0,0,0,1,0,1,0,0,0,0,NA,13121
"9733",13,1101,535,11,5052659,1,54,13,0,0,0,0,1,0,0,0,0,0,0,NA,13121
"9734",13,1101,535,11,8164305,0,42,14,90000,0,0,0,1,0,1,0,0,0,1,NA,13121
"9735",13,1101,535,11,7855888,1,41,13,0,0,0,0,1,0,1,1,0,0,0,NA,13121
"9736",13,1101,535,11,2996405,0,55,12,65130,0,0,0,1,0,1,0,0,1,1,NA,13121
"9737",13,1101,535,11,7644955,0,82,9,36400,0,0,0,0,0,1,0,1,0,1,NA,13121
"9738",13,1101,535,11,3441284,1,33,6,0,0,0,0,1,0,0,1,0,0,0,1,13121
"9739",13,1101,535,11,5291615,1,19,7,22800,0,0,0,0,0,1,0,0,0,1,NA,13121
"9740",13,1101,535,11,9548606,0,83,9,52100,0,0,0,1,0,1,0,0,0,0,NA,13121
"9741",13,1101,535,11,6770218,0,19,9,2100,0,0,0,0,0,1,0,1,0,1,NA,13121
"9742",13,1101,535,11,4397123,0,26,11,4000,0,0,0,0,0,1,0,0,0,0,NA,13121
"9743",13,1101,535,11,5969063,0,61,13,82690,0,0,0,1,0,1,0,0,0,0,NA,13121
"9744",13,1101,535,11,2788269,0,49,11,39200,0,0,1,0,0,0,0,0,0,1,1,13121
